"Date","Open","ClosingPrice","DailyHigh","DailyLow","VolumePcs"
"43077","133.43","132.6","133.9","132","16037970"
"43076","133.7","133.02","133.87","132.81","18198430"
"43075","133.33","134","134.29","132.91","14641730"
"43074","133.48","133.65","133.99","132.78","12684800"
"43073","133.01","133.77","134","131.93","17818980"
"43070","132.49","133.02","133.32","131.72","24755830"
"43069","133","132.15","134.31","132","40024830"
"43068","134.85","133.55","134.86","132.97","27263040"
"43067","133.23","135.18","135.18","132.55","26663710"
"43066","133.69","133.5","135.19","132.8","27713150"
"43063","131.56","133.57","134.19","131.31","29043690"
"43062","132.69","131.6","133.1","131.3","29106430"
"43061","133","132.57","133.65","132.2","25211140"
"43060","130.45","132.49","133.05","130.35","35532230"
"43059","129.97","129.96","130.49","128.63","15667470"
"43056","129.65","129.65","130.87","129.06","18126930"
"43055","131.65","129.2","132.7","127.74","42122000"
"43054","132.01","131.21","132.79","131.21","23349160"
"43053","133.02","132.93","134.28","132.35","42200310"
"43052","132.64","133.32","134.18","131.71","29457680"
"43049","131.03","132.5","133.84","130.51","47147150"
"43048","132.31","131.5","132.82","131.14","33869650"
"43047","132","132.3","133.94","131.58","39381960"
"43046","127.06","132.28","132.55","127.05","82333460"
"43042","125.7","125.9","126.84","125.7","22633490"
"43041","125.88","125.67","126","124.87","15593170"
"43040","126.4","126.5","126.89","125.97","18232550"
"43039","126.14","125.9","126.6","125.57","11857510"
"43038","125.96","125.98","126.93","125.53","19263340"
"43035","124.55","125.94","125.94","123.64","28588870"
"43034","124.99","124.2","125.39","124.07","14734860"
"43033","126.58","125","126.75","124.28","24168190"
"43032","126.97","126.02","126.97","125.61","20451320"
"43031","127.05","126.8","127.47","126.37","17308800"
"43028","125.85","126.7","127.05","125.6","21055440"
"43027","126.75","125.5","127.39","125.17","22525620"
"43026","125.44","126.7","127.09","125.26","29595400"
"43025","127.1","125.15","127.2","125.05","28319580"
"43024","127.1","127.17","127.8","126.68","23829380"
"43021","126.18","126.86","127.39","125.8","23710380"
"43020","126.05","125.93","126.79","125.45","18077300"
"43019","124.54","126","126","124.38","30336230"
"43018","125","124.44","125.33","124.17","20115940"
"43017","123.7","124.81","124.9","123.41","22044990"
"43014","123.54","123.47","124.48","123.27","30315270"
"43013","121.75","123.5","123.97","121.51","39985900"
"43012","120.68","121.76","121.95","119.7","24264960"
"43011","121.85","120.78","122.11","120.47","26880600"
"43010","122.29","121.9","122.44","121.4","14227260"
"43007","122.58","122.2","122.81","121.7","17242640"
"43006","123.28","122.5","123.62","122.11","22612850"
"43005","123.15","123.36","123.68","122.46","22511050"
"43004","123.25","123.03","124.19","122.84","25836740"
"43003","121.97","123.03","123.6","121.9","28221700"
"43000","122.34","121.95","122.46","121.3","19192330"
"42999","122.19","122.34","123.2","121.61","35217020"
"42998","121.89","122.25","122.43","121.52","26061680"
"42997","122.61","121.75","122.8","121.05","32122850"
"42996","122.48","122.72","123.35","122.07","27035140"
"42993","122.89","122.5","123","121.59","41842120"
"42992","123.55","123.33","124.19","122.79","29487230"
"42991","122","123.55","124.38","121.99","51220320"
"42990","121.29","121.99","122","120.16","27281490"
"42989","120.85","121","121.94","119.63","40349270"
"42986","118.15","120.34","120.45","118.15","41838310"
"42985","117.62","117.95","119.03","117.38","37116310"
"42984","116","117.14","117.58","115.66","24521460"
"42983","117.55","116","117.89","115.9","26653500"
"42982","117","117","117.65","116.56","16056300"
"42979","118.05","117.4","118.26","117.04","22711530"
"42978","117.99","117.97","119.21","117.35","41045540"
"42977","118.4","118.2","118.9","116.88","32071140"
"42976","118.5","118.3","118.63","116.5","27644330"
"42975","117.8","118.75","118.75","117.54","16227150"
"42972","116.82","117.85","118","116.56","21099190"
"42971","115.75","116.56","116.89","115.42","18580360"
"42970","116.09","115.75","116.27","115.07","22786650"
"42969","115.97","116","116.73","115.68","16101280"
"42968","116.07","115.92","116.47","115.39","16516080"
"42965","115.86","116","116.09","115.15","22345050"
"42964","116.65","116.22","116.95","115.92","16609980"
"42963","117.8","116.75","117.87","116.63","19162940"
"42962","117.12","117.59","117.7","116.51","16710620"
"42961","117.15","117.4","117.99","117.15","13556190"
"42958","117.55","116.93","117.85","116.34","24908370"
"42957","118.7","118.05","119.4","118.03","18203840"
"42956","119.4","118.68","119.46","118.02","20303410"
"42955","119.47","119.67","119.89","119.25","14908830"
"42954","119.32","119.5","120.38","118.9","21811380"
"42951","119.3","119.45","119.88","118.68","17281160"
"42950","119.15","119.58","119.99","118.85","22387790"
"42949","118","119.09","119.09","117.9","20798890"
"42948","116.82","117.99","118.65","116.82","29024700"
"42947","116.7","116.1","118.18","115.08","40317370"
"42944","118.16","116.9","118.18","115.41","34585480"
"42943","119.11","118.68","119.35","117.83","25785070"
"42942","118.35","119","119.12","118.25","22322480"
"42941","119.13","118.4","119.7","117.67","23692640"
"42940","118.53","119.17","119.4","117.92","22839940"
"42937","120.21","118.95","120.26","118.65","20858610"
"42936","120.43","120.6","121.27","119.81","21833190"
"42935","118.48","120.11","120.11","118.11","43182860"
"42934","125.1","124.49","125.75","124.49","39563600"
"42933","125.39","125.14","125.7","124.3","23844290"
"42930","","125","126.32","125.03","21567110"
"42929","","125.55","125.85","","29402240"
"42928","","124.87","125.19","124.21","22746970"
"42927","","124.78","124.93","123.96","20664140"
"42926","","124.25","124.62","","27181370"
"42923","122.19","123","123","121.4","24747890"
"42922","122.81","122.68","123.65","121.44","25182000"
"42921","122.95","122.7","123.75","122.32","26076210"
"42920","120","122.73","123.29","119.72","37722830"
"42919","119.16","119.86","119.93","118.75","18244530"
"42916","118.86","118.49","120.22","118.18","22483610"
"42915","120.17","119.16","120.88","118.8","26473500"
"42914","118.72","119.7","119.7","118.19","21203010"
"42913","118.36","119.35","119.75","118.02","18379600"
"42912","119.5","118.67","119.97","118.26","18290680"
"42909","119.52","119.1","120.09","118.66","23310370"
"42908","117.78","119.55","119.78","116.86","31575330"
"42907","117.5","117.97","118.32","116.84","23627700"
"42906","117.51","117.44","119","116.56","29974620"
"42905","116","117.33","117.45","115.79","21758090"
"42902","115.81","116.02","117.25","114.6","40352310"
"42901","115.29","115.49","115.75","111.46","120746990"
"42900","118.18","115.35","118.54","115.1","47015150"
"42899","120.08","118.15","120.38","118.15","31098720"
"42895","119.39","120.5","120.5","118.95","21304350"
"42894","119.15","119.3","120.11","117.82","27524480"
"42893","119.34","118.92","121.44","118.85","27874070"
"42892","119","119.05","120.24","118.66","18204960"
"42891","119.57","119","120.99","118.55","24798770"
"42888","117.86","119.69","119.69","116.55","38326830"
"42887","120.29","118","120.98","117.24","48654070"
"42886","122.21","120.28","122.78","119.4","55411890"
"42885","122.72","122.1","122.91","121.79","16159700"
"42884","122.4","123.11","123.83","122.11","24491100"
"42881","121.48","122.2","122.2","120.54","22658570"
"42880","122.39","121.61","122.47","120.75","24572020"
"42879","123.36","122","123.67","120.92","32263320"
"42878","122.6","123.23","123.71","121.96","34384060"
"42877","124.47","122.52","124.49","122.17","39237650"
"42874","127.32","124.19","127.4","124","57694830"
"42873","131.37","126.9","132.84","125.85","80144010"
"42872","130.98","132.07","132.18","130.6","17640940"
"42871","131.41","131.13","133.07","130.27","22535600"
"42870","132.79","131.5","133.92","129.28","46409680"
"42867","131.41","132.5","132.5","130.2","23895330"
"42866","134.56","131.1","134.75","130.37","36624840"
"42865","134.98","134.19","135.43","133.51","23775320"
"42860","133.68","134.41","134.94","132.91","26287190"
"42859","135.8","134.93","136.41","134.3","31968840"
"42858","136.46","135.81","138.09","135.1","33150870"
"42857","137.29","136.52","138.43","136.28","33849840"
"42853","136","136.75","137.77","135.05","52898790"
"42852","133.35","133.41","136.6","132.22","99565980"
"42851","130.2","133.43","134","130.01","57713060"
"42850","128.5","130.2","131.75","127.98","57536860"
"42849","123.56","128","128.4","123.38","66796940"
"42846","122.13","123","123.64","122.13","29514120"
"42845","121.3","121.99","121.99","120.55","32985470"
"42844","122.74","121.55","123.15","121.25","28941930"
"42843","124.1","122.22","124.39","122.03","22108400"
"42842","123","123.7","124.03","122.25","21674610"
"42839","124.29","122.85","124.37","122.63","14731590"
"42838","125.95","124.54","125.95","123.5","42266220"
"42837","127.05","125.05","127.45","124.62","28978480"
"42836","125.98","126","127.69","125.5","32664280"
"42835","","126.16","","125.81","29853980"
"42832","129.5","128.72","129.89","127.84","27579920"
"42831","130.18","130.5","130.93","129.55","23606630"
"42830","128.85","130.69","131.25","128.82","34545900"
"42829","127.5","128.81","128.9","126.8","26349010"
"42828","128.09","127.21","128.5","127.02","19870230"
"42825","128.49","127.9","128.64","126.8","29060280"
"42824","129.15","128.49","129.99","128.2","28700450"
"42823","129.12","128.81","129.78","128.55","15808600"
"42822","129","129.2","129.6","128.1","23674580"
"42821","129.41","128.8","129.47","127.41","28951210"
"42818","130.79","130.05","131.48","129.72","20547890"
"42817","131.8","130.99","132.94","130.22","39623660"
"42816","129.05","131.65","131.65","128.9","36244000"
"42815","129.02","129.3","130.42","128.51","37868660"
"42814","129.3","128.79","130.13","128.02","30333260"
"42811","128.19","128.94","130.42","128.01","42883560"
"42810","128.5","128.05","129.3","127.61","51357870"
"42809","129.22","127.6","129.69","127.2","31019370"
"42808","130","128.8","131.34","128.32","39444410"
"42807","128.51","129.93","130.55","127.82","34301020"
"42804","129.2","128.78","130.88","127.8","33659510"
"42803","132.05","129","133.26","128.81","53141410"
"42801","135.8","132.89","135.8","131.9","28976030"
"42800","134.84","134.6","135.97","134.32","28047110"
"42797","131.15","134.8","134.9","130.64","39971050"
"42796","134.05","131.3","135.1","131.3","42664710"
"42795","133.5","133.85","134.99","133","38131650"
"42794","135.7","134","135.89","132","98611670"
"42793","137.17","135.07","137.48","135.07","24036150"
"42790","136.51","136.75","137.2","135.6","17165850"
"42788","138.66","136.68","138.78","136.05","27406280"
"42787","138.6","138.35","139.6","138","21706790"
"42786","138.57","138.5","140.13","137.4","24730050"
"42783","139.27","138.12","139.42","137.23","32115980"
"42782","139.92","139.16","140.3","138.01","33195280"
"42781","140.49","139.72","141.5","138.92","36931590"
"42780","141.25","140.62","141.49","139.85","20232140"
"42779","141.1","141.2","142.67","140.02","25982140"
"42776","142.87","140.5","143.14","140.5","41132510"
"42775","145.35","142.11","145.6","141.57","52192900"
"42774","148.12","145.2","148.22","143.9","64448030"
"42773","148.5","148.7","148.7","147.6","13853050"
"42772","149.4","148.5","149.7","147.63","22092270"
"42769","148.85","149.35","150.2","148.37","20817240"
"42768","149.8","148.8","150.45","148.15","20525750"
"42767","150","149.65","150.38","148.32","20916550"
"42766","150.54","149.8","151.42","149.15","28260880"
"42765","153.8","150.8","153.9","150.35","21533720"
"42762","150.4","154.09","154.53","149.91","37170230"
"42761","147.74","150.49","151.28","147.16","26471140"
"42760","150.5","147.65","150.87","147.15","30645880"
"42759","148.25","150.15","150.5","148.25","22354380"
"42758","149.9","148.1","149.9","147.1","22491250"
"42755","150.85","149.7","151.2","147.7","33241970"
"42754","153.3","150.85","153.56","148.23","41963880"
"42753","154.2","152.86","154.59","152.65","16216270"
"42752","155.6","153.65","156.5","153.01","25918410"
"42751","157.99","155.81","158.2","155.58","16952610"
"42748","157.48","157.95","158.3","155.77","23323000"
"42747","158.48","157.25","158.48","155.53","24140250"
"42746","157.5","157.01","158.5","155.81","20658180"
"42745","154.01","157.97","158.02","154","26146750"
"42744","154.2","154.4","155.5","153.3","12955890"
"42741","154.15","154.1","154.47","152.05","12310510"
"42740","157.44","154","158.7","153.17","25449570"
"42739","156.84","157.44","157.44","155.76","15503920"
"42738","154.46","157.7","158.2","154.12","24763380"
"42734","153","154.55","154.55","152.6","15714590"
"42733","150.74","152.62","153.29","149.9","14812890"
"42732","150.74","151","152.6","149.6","17025510"
"42731","149.05","150.38","151.03","149.05","9643110"
"42730","149","148.95","149.86","148.8","7017140"
"42727","150.28","149.05","151.19","147.22","24977800"
"42726","153.49","150.27","153.49","149.72","29733560"
"42725","155.69","153.06","156.73","153.01","22599140"
"42724","154.51","155.3","155.95","153.76","28013210"
"42723","157.18","154.6","157.75","154.6","17558190"
"42720","158.48","156.2","158.88","156.2","31710640"
"42719","155.77","158.25","158.3","155.77","52385610"
"42718","159.01","157.2","160.62","155.3","45524980"
"42717","158.35","158.95","159.2","157.72","43179500"
"42716","154.15","158.63","159.82","154.03","83797990"
"42713","153.5","152.99","153.83","152.18","26792910"
"42712","152.49","153.05","153.7","151.89","31381700"
"42711","151.56","151.95","152.61","150.92","23411240"
"42710","153.97","151.5","154.55","151.27","35498600"
"42709","152.17","153.78","153.99","152.09","35074550"
"42706","152.81","152.35","153.64","151.8","27081770"
"42705","149.54","152.81","153.7","149.54","57550290"
"42704","148","148.8","151.12","147.6","44343150"
"42703","148.83","147.75","149.49","147.34","21155580"
"42702","151.18","148.94","151.48","148.39","24402370"
"42699","150.94","151.31","151.6","149.5","17903950"
"42698","149.53","151.11","152.25","149.35","26216000"
"42697","150.24","149.49","150.38","148.56","19329900"
"42696","150.2","150","150.83","149.06","26583940"
"42695","147.6","149.6","149.85","147.6","26159040"
"42692","147.51","146.96","148.29","146.74","14647970"
"42691","145.82","147.7","147.78","145.32","28348820"
"42690","147.07","145.5","148.8","145.14","40902380"
"42689","146.5","145.9","148","145.6","23781420"
"42688","148.6","146.26","149.67","145.96","31655130"
"42685","147.4","147.88","149.5","145.79","45421760"
"42684","146.45","147.4","151.3","145.75","103218440"
"42683","138","145.62","145.62","137.55","79384800"
"42682","138.86","139.32","140.98","138.81","20844700"
"42681","140.5","138.5","140.96","138.5","23566970"
"42677","140.5","139.9","141.3","139.3","24879410"
"42676","141.49","140.81","143.64","140.03","43150330"
"42675","139.12","141.98","142.44","139.01","49424650"
"42674","136.3","138.84","139.44","136.16","42989200"
"42671","135","135","135.04","134.4","9973340"
"42670","135.32","135.04","135.64","134.62","12333740"
"42669","135.11","135.32","135.7","134.55","11935260"
"42668","135.25","135.3","135.97","134.88","15474750"
"42667","135.24","135.05","136.14","134.75","15312220"
"42664","135.1","134.96","135.35","133.95","15520990"
"42663","135.79","134.72","135.79","134.7","12396890"
"42662","136.11","135.49","136.16","134.7","11824310"
"42661","136","135.81","136.46","135.41","19038940"
"42660","136.1","135.57","136.43","135.3","14806360"
"42657","137.55","136.2","137.86","135.83","12933780"
"42656","137.7","137.47","137.88","136.57","15129820"
"42655","138.52","138.07","140.23","137.55","31976170"
"42654","139.14","138.98","139.8","138.18","32335640"
"42653","136.17","139.1","139.5","135.75","34397090"
"42650","135.89","136.1","136.75","135.2","20473480"
"42649","134.88","135.9","136.24","134.1","19696440"
"42648","136.31","134.8","136.32","134.25","21501020"
"42647","135.5","136.23","136.75","135.05","19669310"
"42646","135.1","135.37","136.69","134.8","19622730"
"42643","135","134.9","135.95","134.26","23734570"
"42642","135.4","135.31","136.8","135","23908790"
"42641","134.58","134.09","134.9","133.57","19264280"
"42640","135.51","133.92","135.58","133.88","24102940"
"42639","136.39","135.26","136.39","134.8","25534270"
"42636","136.2","136.7","137.84","135.26","29107680"
"42635","136.89","136.7","137.05","135.23","29027950"
"42634","137.21","136.25","137.48","135.5","15958010"
"42633","136.2","137","137.02","135.18","18103450"
"42632","136.87","136.59","138.15","136.12","16821930"
"42629","137.7","136.47","138","134.73","28905820"
"42628","139.25","137.6","139.25","136.55","24149280"
"42627","138.17","139.35","139.57","137.64","22830160"
"42626","138.76","138.45","139.72","138","16246740"
"42625","137.5","138.93","139.59","136.53","26235340"
"42622","140.9","138.54","140.9","138.54","24777160"
"42621","143.66","141.45","143.83","140.77","29185840"
